Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,48,700,36,0.38,0.24,0.38,33.93911,67.709953,3.20
Albania,EASTERN EUROPE                     ,3581655,28748,124.6,4500,86.5,0.23,0.19,0.58,41.153332,20.168331,71.20
Algeria,NORTHERN AFRICA                    ,32930091,2381740,13.8,6000,70,0.1,0.6,0.3,28.033886,1.659626,78.10
American Samoa,OCEANIA                            ,57794,199,290.4,8000,97,,,,-14.270972,-170.132217,259.50
Andorra,WESTERN EUROPE                     ,71201,468,152.1,19000,100,,,,42.546245,1.601554,497.20
Angola,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,1900,42,0.1,0.66,0.25,-11.202692,17.873887,7.80
Anguilla,LATIN AMER. & CARIB    ,13477,102,132.1,8600,95,0.04,0.18,0.78,18.220554,-63.068615,460.00
Antigua & Barbuda,LATIN AMER. & CARIB    ,69108,443,156,11000,89,0.04,0.22,0.74,17.060816,-61.796428,549.90
Argentina,LATIN AMER. & CARIB    ,39921833,2766890,14.4,11200,97.1,0.1,0.36,0.55,-38.416097,-63.616672,220.40
Armenia,C.W. OF IND. STATES ,2976372,29800,99.9,3500,98.6,0.24,0.34,0.42,40.069099,45.038189,195.70
Aruba,LATIN AMER. & CARIB    ,71891,193,372.5,28000,97,0,0.33,0.66,12.52111,-69.968338,516.10
Australia,OCEANIA                            ,20264082,7686850,2.6,29000,100,0.04,0.26,0.7,-25.274398,133.775136,565.50
Austria,WESTERN EUROPE                     ,8192880,83870,97.7,30000,98,0.02,0.3,0.68,47.516231,14.550072,452.20
Azerbaijan,C.W. OF IND. STATES ,7961619,86600,91.9,3400,97,0.14,0.46,0.4,40.143105,47.576927,137.10
Bahamas,LATIN AMER. & CARIB    ,303770,13940,21.8,16700,95.6,0.03,0.07,0.9,25.03428,-77.39628,460.60
Bahrain,NEAR EAST                          ,698585,665,1050.5,16900,89.1,0.01,0.39,0.61,25.930414,50.637772,281.30
Bangladesh,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,1900,43.1,0.2,0.2,0.6,23.684994,90.356331,7.30
Barbados,LATIN AMER. & CARIB    ,279912,431,649.5,15700,97.4,0.06,0.16,0.78,13.193887,-59.543198,481.90
Belarus,C.W. OF IND. STATES ,10293011,207600,49.6,6100,99.6,0.09,0.32,0.59,53.709807,27.953389,319.10
Belgium,WESTERN EUROPE                     ,10379067,30528,340,29100,98,0.01,0.24,0.75,50.503887,4.469936,462.60
Belize,LATIN AMER. & CARIB    ,287730,22966,12.5,4900,94.1,0.14,0.15,0.61,17.189877,-88.49765,115.70
Benin,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,1100,40.9,0.32,0.14,0.55,9.30769,2.315834,9.70
Bermuda,NORTHERN AMERICA                   ,65773,53,1241,36000,98,0.01,0.1,0.89,32.321384,-64.75737,851.40
Bhutan,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,1300,42.2,0.26,0.38,0.36,27.514162,90.433601,14.30
Bolivia,LATIN AMER. & CARIB    ,8989046,1098580,8.2,2400,87.2,0.13,0.35,0.52,-16.290154,-63.588653,71.90
Bosnia & Herzegovina,EASTERN EUROPE                     ,4498976,51129,88,6100,,0.14,0.31,0.55,43.915886,17.679076,215.40
Botswana,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,9000,79.8,0.02,0.47,0.51,-22.328474,24.684866,80.50
Brazil,LATIN AMER. & CARIB    ,188078227,8511965,22.1,7600,86.4,0.08,0.4,0.52,-14.235004,-51.92528,225.30
British Virgin Is.,LATIN AMER. & CARIB    ,23098,153,151,16000,97.8,0.02,0.06,0.92,-6.343194,71.876519,506.50
Brunei,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,18600,93.9,0.04,0.56,0.4,4.535277,114.727669,237.20
Bulgaria,EASTERN EUROPE                     ,7385367,110910,66.6,7600,98.6,0.09,0.3,0.6,42.733883,25.48583,336.30
Burkina Faso,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,1100,26.6,0.32,0.2,0.48,12.238333,-1.561593,7.00
Burma,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,1800,85.3,0.56,0.08,0.35,21.913965,95.956223,10.10
Burundi,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,600,51.6,0.46,0.2,0.33,-3.373056,29.918886,3.40
Cambodia,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,1900,69.4,0.35,0.3,0.35,12.565679,104.990963,2.60
Cameroon,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,1800,79,0.45,0.17,0.38,7.369722,12.354722,5.70
Canada,NORTHERN AMERICA                   ,33098932,9984670,3.3,29800,97,0.02,0.29,0.68,56.130366,-106.346771,552.20
Cape Verde,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,1400,76.6,0.12,0.22,0.66,16.002082,-24.013197,169.60
Cayman Islands,LATIN AMER. & CARIB    ,45436,262,173.4,35000,98,0.01,0.03,0.95,19.513469,-80.566956,836.30
Chad,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,1200,47.5,0.34,0.26,0.41,15.454166,18.732207,2.30
Chile,LATIN AMER. & CARIB    ,16134219,756950,21.3,9900,96.2,0.06,0.49,0.45,-35.675147,-71.542969,1.30
China,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,5000,90.9,0.13,0.47,0.4,35.86166,104.195397,213.00
Colombia,LATIN AMER. & CARIB    ,43593035,1138910,38.3,6300,92.5,0.13,0.34,0.53,4.570868,-74.297333,266.70
Comoros,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,700,56.5,0.4,0.04,0.56,-11.875001,43.872219,176.20
Congo. Dem. Rep.,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,700,65.5,0.55,0.11,0.34,-4.038333,21.758664,24.50
Congo. Repub. of the,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,700,83.8,0.06,0.57,0.37,-0.228021,15.827659,0.20
Cook Islands,OCEANIA                            ,21388,240,89.1,5000,95,0.15,0.1,0.75,-21.236736,-159.777671,3.70
Costa Rica,LATIN AMER. & CARIB    ,4075261,51100,79.8,9100,96,0.09,0.3,0.61,9.748917,-83.753428,289.90
Croatia,EASTERN EUROPE                     ,4494749,56542,79.5,10600,98.5,0.07,0.31,0.62,45.1,15.2,340.70
Cuba,LATIN AMER. & CARIB    ,11382820,110860,102.7,2900,97,0.06,0.26,0.68,21.521757,-77.781167,14.60
Cyprus,NEAR EAST                          ,784301,9250,84.8,19200,97.6,0.04,0.2,0.77,35.126413,33.429859,420.40
Czech Republic,EASTERN EUROPE                     ,10235455,78866,129.8,15700,99.9,0.03,0.39,0.57,49.817492,15.472962,74.70
Denmark,WESTERN EUROPE                     ,5450661,43094,126.5,31100,100,0.02,0.25,0.74,56.26392,9.501785,
Djibouti,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1300,67.9,0.18,0.23,0.6,11.825138,42.590275,314.30
Dominica,LATIN AMER. & CARIB    ,68910,754,91.4,5400,94,0.18,0.33,0.5,15.414999,-61.370976,614.60
Dominican Republic,LATIN AMER. & CARIB    ,9183984,48730,188.5,6000,84.7,0.11,0.31,0.58,18.735693,-70.162651,22.80
Ecuador,LATIN AMER. & CARIB    ,13547510,283560,47.8,3300,92.5,0.07,0.31,0.62,-1.831239,-78.183406,304.80
Egypt,NORTHERN AFRICA                    ,78887007,1001450,78.8,4000,57.7,0.15,0.36,0.49,26.820553,30.802498,97.40
El Salvador,LATIN AMER. & CARIB    ,6822378,21040,324.3,4800,80.2,0.1,0.3,0.6,13.794185,-88.89653,
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,2700,85.7,0.03,0.91,0.06,1.650801,10.267895,125.60
Eritrea,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,700,58.6,0.1,0.25,0.64,15.179384,39.782334,131.80
Estonia,BALTICS                            ,1324333,45226,29.3,12300,99.8,0.04,0.29,0.67,58.595272,25.013607,142.40
Ethiopia,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,700,42.7,0.48,0.1,0.43,9.145,40.489673,18.50
Faroe Islands,WESTERN EUROPE                     ,47246,1399,33.8,22000,,0.27,0.11,0.62,61.892635,-6.911806,7.90
Fiji,OCEANIA                            ,905949,18270,49.6,5800,93.7,0.09,0.14,0.78,-16.578193,179.414413,333.80
Finland,WESTERN EUROPE                     ,5231372,338145,15.5,27400,100,0.03,0.3,0.68,61.92411,25.748151,8.20
